Country,Any_mandatory_MF_LF_filing,MF_deadline,MF_filing_req,MF_threshold,LF_deadline,LF_filing_req,LF_threshold,CbCr_notification_deadline,CbCr_filing_deadline,CbCr_threshold,Local_TP_reqs,Local_TP_reqs_deadline,Other
Ecuador,"Yes (Local Report, including Master File content)",Two months after CIT return filing,No (content included in Local Report),USD10 million in total related party transactions,Two months after CIT return filing,Yes (as a Transfer Pricing Report),USD10 million in total related party transactions,,,,"Local TP regime based on LRTI and SRI resolutions; OECD Guidelines as technical reference. Local Report (Transfer Pricing Report) required, including Master File content, prepared annually for each entity. Individual transaction testing preferred. Interquartile range compulsory, adjustments to median.","Annually, no specific deadline for preparation","Penalties up to USD15,000 for non-compliance; 4-year statute of limitations. APA-like procedure available. Thin capitalization rules apply (300% debt-to-equity for financial sector, 20% EBITDA for others). CbCR not required. Master File content required in Local Report, not as separate document."
Egypt,Yes,Within two months from tax return submission date (for Egyptian HQ or no UPE requirement) or UPE jurisdiction's timeline (for UPE requirement),Yes,EGP15 million,Within two months following the corporate tax return submission date,Yes,EGP15 million,Last day of the fiscal year to which the CbCR relates,Within one year after the end of the reporting fiscal year,EGP3 billion,"Annual preparation and contemporaneous submission of TP documentation (Master File, Local File) if thresholds met. Stand-alone reports per entity. Local language preferred. Disclosures on CTR and financial statements. Based on various Income Tax Acts and rulings.",Within two months following the corporate tax return submission date,"Domestic TP documentation required. Largely relies on OECD TP Guidelines. BEPS Action 13 adopted. No MCAA. Regional comparables accepted, multi-year analysis preferred. Penalties for non-submission/late filing (capped at 3% of related-party transactions). 5-year statute of limitations. Unilateral APAs and MAP available. Thin capitalization rules apply (debt-to-equity ratio decreasing over time)."
El Salvador,No,Not applicable,No,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,"Annual contemporaneous TP documentation required (prepared by 31 May) for related-party transactions, including for local branches and stand-alone reports for each entity in an MNE. A TP informative return (Form F-982) is required if intercompany transactions exceed USD571,429. Documentation must be in local language. External tax auditor must report on TP compliance.",TP documentation preparation by 31 May; TP informative return (Form F-982) filing by 31 March.,"El Salvador is not part of OECD/G20 BEPS Inclusive Framework and does not follow OECD TP Guidelines. No CbCR, Master File, or Local File (BEPS Action 13) requirements. TP methodologies are commonly scrutinized; adjustments to median of interquartile range. No APAs or MAP. No thin capitalization rules. No Public CbCR."
Estonia,"No, but mandatory preparation and submission upon request.",Upon tax authority request (within 60 days).,"Yes, for certain entities/transactions.","Certain entities (credit institutions, insurance, listed companies), non-cooperative jurisdictions, or entities meeting employee (>=250), turnover (>=EUR50m), and asset (>=EUR43m) criteria.",Upon tax authority request (within 60 days).,"Yes, for certain entities/transactions.","Certain entities (credit institutions, insurance, listed companies), non-cooperative jurisdictions, or entities meeting employee (>=250), turnover (>=EUR50m), and asset (>=EUR43m) criteria.",Within 6 months after financial year end.,Within 12 months after financial year end.,EUR750 million annual global income.,"Annual TP documentation (including MF/LF) preparation required, submitted upon request. Stand-alone reports for each entity. Quarterly intragroup loan declarations. Annual report with related-party disclosures. CbCR notification. Based on various Income Tax Act articles.","Documentation prepared by tax return lodgment date, submitted within 60 days of request. Annual report with related-party disclosures within 6 months of FYE. Quarterly intragroup loan declarations.","BEPS Action 13 not sufficient for financing penalty protection. Documentation in Estonian (English with translation risk). No safe harbor. Individual testing. Thin cap rules (EUR3m & 30% EBITDA). PCbCR from May 2024 (groups >= EUR750m). No APAs, MAP available. Statute of limitations 3-5 years. Penalties for non-compliance (up to EUR3,300 for documentation/CbCR/MF) and 22% income tax on TP adjustments + 0.06% daily interest. TP audits common for specific transactions. Local comparables preferred, multiyear analysis, interquartile range, annual benchmark updates."
Fiji,No,,No,,,By tax return lodgment date (31 March or three months after FYE),,No,,,,,"Yes, contemporaneous preparation and annual submission of TP documentation in local language, stand-alone reports for each entity, local branches must comply. / By tax return lodgment date (31 March or three months after FYE); 14 days upon request. / Fiji TP Regulations 2012; FRCS adopts OECD Guidelines; No BEPS Action 13 adoption (no CbCR, MF, LF). No specific TP return, but related-party disclosures required with tax returns and financial statements. Penalties for non-maintenance-non-furnishing of TP documentation (min FJD100,000 fine). Statute of limitations is 6 years (or anytime for fraud). APAs are rare but possible; MAP available with DTTs. Thin capitalization rules apply (FJD5m offshore borrowing limit, 3:1 D-E ratio for local borrowing)."
Finland,No,"60 days upon request, but not earlier than six months after year-end",Yes,"One of general TP documentation criteria (250+ employees OR EUR50M+ turnover & EUR43M+ net assets OR not EU SME) AND total international related-party transactions exceed EUR500,000","60 days upon request, but not earlier than six months after year-end",Yes,One of general TP documentation criteria (250+ employees OR EUR50M+ turnover & EUR43M+ net assets OR not EU SME),"Last day of financial year (e.g., 31 December)","Within one year from financial year-end (e.g., 31 December)",EUR750 million group revenue in preceding financial year,"Act on the Tax Assessment Procedure (Sections 14a-14e, 31, 32, 75, 89) and BEPS Action 13 implementation",Within six months after year-end,No TP documentation for domestic transactions (arm's length applies). BEPS A13 report not full penalty protection. Form 78 required with CIT return. 6-year statute of limitations for TP assessments. Interest limitation rules apply (not thin cap). Public CbCR applies from 2024 for groups with EUR750M+ revenue.
France,"No, only upon request during tax audit",Upon request during tax audit (30-60 days),Yes,Until FYE 2023: EUR400M; From FYE 2024: EUR150M (company or group turnover/gross assets),Upon request during tax audit (30-60 days),Yes,Until FYE 2023: EUR400M; From FYE 2024: EUR150M (company or group turnover/gross assets),Same as CIT return (approx. 3 months after FYE),Within 12 months after FYE,EUR750 million consolidated revenue,"French Tax Code and French Procedural Tax Code articles, including BEPS Action 13 implementation",Preparation: By CIT return filing; Submission: Upon request during tax audit (30-60 days),Significant penalties for non-compliance. Public CbCR applies from FY starting 22 June 2024. APAs available. English reports accepted but translation may be requested. Local File requires reconciliation of management and statutory accounts. Thin capitalization rules apply.
Georgia,No,,No,,,Upon request (30 days),No,,Last day of the reporting fiscal year of MNE Group,31 December of the year following the reporting fiscal year,EUR750 million,"Yes, documentation required annually and prepared contemporaneously. Taxpayers with turnover < GEL8 million have relaxed update frequency for comparables (every 3rd year).",Preparation by tax return lodgment date; submission upon request within 30 days. / Thin capitalization rules apply (Order No. 331 and Article 141 of Instruction on Evaluation of International Controlled Transactions).
Germany,Yes,30 days after audit announcement or upon request,Yes,EUR100 million revenue in preceding fiscal year,30 days after audit announcement or upon request,Yes,"Exceeds EUR6 million for goods or EUR600,000 for other transactions with foreign related parties",Tax return due date (31 July or 30 April of subsequent year),One year after the end of the fiscal year,EUR750 million consolidated revenues in previous fiscal year,Various Income Tax Acts and rulings; Transaction Matrix; Auxiliary calculation for PEs,Transaction Matrix: 30 days after audit announcement or upon request; Auxiliary calculation for PEs: with tax return,"Significant updates to Section 1 Foreign Tax Act (intra-group financing, DEMPE, transfer of function rules) effective Jan 1, 2022, and Jan 1, 2024. New Administrative Principles for Transfer Pricing (AP TP 2024) issued Dec 12, 2024. Public CbCR applies for FYs beginning on or after June 22, 2024 (threshold EUR750M). Penalties for non-compliance with TP documentation tightened for taxes arising after Dec 31, 2024. APAs available with revised fees. Thin capitalization and CFC rules apply."
Ghana,"Yes, both Master File and Local File must be contemporaneously maintained and submitted.",Four months after the end of the entity's basis period,Yes,"USD200,000 (Ghana cedi equivalent)",Not later than four months after the end of each basis period,Yes,"USD200,000 (Ghana cedi equivalent)","Not applicable - no notification required, only filing",12 months after the last day of the reporting fiscal year of the MNE group,Annual consolidated group revenue of GHS2.9 billion or more,"Transfer Pricing Regulations, 2020 and Income Tax Act 2015. Documentation required for domestic transactions, prepared annually, stand-alone for each entity. English language. Safe harbors for transactions < USD200,000, low-value services (3% markup), and certain technology transfer agreements (2% of net profit). Individual testing preferred. Annual Transfer Pricing Return required.",Four months after the end of each basis period,"Thin capitalization ratio 3:1 (debt to equity) for non-financial institutions. Penalties for non-maintenance/non-furnishing/incomplete documentation (up to 75% of tax), CbCR/Master File (GHS500 + GHS10/day), incorrect disclosures (up to 100% of tax shortfall). Statute of limitations is 6 years, no limit for fraud. OECD Guidelines are interpretive. MAPs available where DTA exists. No Public CbCR. APAs not applicable."
Gibraltar,No,,No,,,No,,Nine months after fiscal year-end,12 months after financial year-end,EUR750 million,General anti-avoidance provisions construed in line with OECD principles and arm's-length principle (Income Tax Act 2010),30 days upon tax authority request,"CbCR penalties apply (£300 initial, up to £1000 daily, £3000 for inaccuracy). General tax underpayment surcharges (10%, then 20%). Safe harbor available (deduction for non-arm's length expenses restricted). APAs available (up to 3 years). Thin capitalization rules (5:1 debt-to-equity, interest limitation 30% EBITDA or EUR3m). Statute of limitations: 1-6 years, 20 years for fraud."
Greece,"No, upon request",Within 30 days upon request,"No, upon request","EUR200,000 (if turnover > EUR5M) or EUR100,000 (if turnover <= EUR5M) of intercompany transactions",Within 30 days upon request,"No, upon request","EUR200,000 (if turnover > EUR5M) or EUR100,000 (if turnover <= EUR5M) of intercompany transactions",31 December (last day of reference year),31 December (within 12 months from MNE group's reporting financial year-end),EUR750 million consolidated group turnover,"Annual preparation of Master File and Local File (OECD BEPS Action 13 based, with local differences) and Summary Information Table (SIT). Documentation in Greek upon request. OECD methods followed, traditional methods preferred. Annual update of comparable financial data, 3-year weighted average for comparables, interquartile range, min 5 comparables.","By CIT return lodgment date (e.g., 30 June for 31 Dec year-end)","Penalties for late-non-filing of SIT, non-provision of TP documentation upon request, and CbCR non-submission-late-inaccurate. Statute of limitations is 6 years. APAs and MAPs available. Thin capitalization rules: 30% EBITDA or EUR3M threshold for borrowing costs. Public CbCR applies from FYs starting after 22 June 2024 for MNEs > EUR750M turnover, with penalties."
Guatemala,"No (not proactively filed, only upon request)",Prepared by 31 March; submitted within 20 days upon request,Yes (prepared),Not applicable,Prepared by 31 March; submitted within 20 days upon request,Yes (prepared),Not applicable,Not specified,Not specified,Not applicable,Annual TP documentation and return required; specific regulations and technical guidelines; local language; individual transaction testing; multiyear analysis; APAs available,TP return by 31 March; documentation prepared by 31 March and submitted within 20 days upon request,OECD Guidelines not relied upon; BEPS Action 13 not formally implemented (MF/LF in guidelines); No CbCR or TP documentation threshold; Penalties for non-submission upon request; 4-year statute of limitations; Adjustments to median of arm's-length range; No MAP or PCbCR; Various Income Tax Acts and rulings
Guinea Conakry,No,Upon request (available by 31 July),No,Annual turnover or gross assets > GNF250 billion,Upon request (available by 31 July),No,Annual turnover or gross assets > GNF250 billion,Not applicable,Not applicable,Not applicable,"Annual declaration of foreign related-party transactions; TP documentation (Master File, Local File) required for entities with annual turnover or gross assets > GNF250 billion, prepared annually in French; simplified declaration for entities below this threshold but above GNF250 billion turnover/assets; economic analysis for transactions > GNF1 billion; annual TP return.",Annual TP return by 30 April; TP documentation available by 31 July,"OECD principles and BEPS Action 13 largely adopted; local specificities for marketable commodities (extractive industries) are crucial for penalty protection; penalties for non-compliance (up to 1% of transaction value or 10% of reassessed amount); 3-year statute of limitations; TP audits common in key sectors (mining, oil & gas, telecom, financial); no APAs or MAPs; thin capitalization rules apply (interest rate cap, capital requirements, 15% of restated income limit for related-party interest)."
Honduras,No,Not applicable,No,Not applicable,Preparation by 30 April; submission within 10 days upon request,No,Not applicable,31 December of the reporting tax year,12 months from the last day of the reporting tax year,Consolidated revenue >= €750m (or Lempira equivalent as of Jan 2015),Annual preparation of TP documentation and a specific TP information return. Documentation must be prepared contemporaneously. Stand-alone reports for each entity. Applicable to domestic transactions with entities under special tax regimes.,"TP return by 30 April (for Dec 31 year-end); TP documentation prepared by 30 April (for Dec 31 year-end), submitted within 10 days upon request.","Various TP regulations. Domestic transactions with special tax regimes are subject to TP rules. OECD Guidelines are for interpretation only, local rules prevail. Penalties for non-compliance range from USD5,000 to USD20,000 or 15%-30% of adjustment; interest on adjustments (3% monthly, up to 36%). Statute of limitations is 5 years. APAs are contemplated but not yet enacted. Adjustments made to the median of the interquartile range. Fresh benchmarking searches required annually; international comparables accepted."
Hong Kong,"Yes, preparation mandatory if thresholds met; submission upon request",No submission deadline; must be prepared within 9 months after year-end,"Yes, if thresholds met","Exempt if meeting size criteria (any two of revenue <= HKD400M, assets <= HKD300M, employees <= 100) AND fully exempted from Local File",No submission deadline; must be prepared within 9 months after year-end,"Yes, if thresholds met","Exempt if meeting size criteria (any two of revenue <= HKD400M, assets <= HKD300M, employees <= 100) AND all transaction categories below specific thresholds (e.g., properties <= HKD220M, financial assets <= HKD110M, intangibles <= HKD110M, other <= HKD44M)",Within 3 months after UPE's accounting period end,Within 12 months after UPE's accounting period end,HKD6.8 billion annual global income,"Mandatory TP documentation (Master File, Local File, CbCR) based on OECD BEPS Action 13, to be prepared contemporaneously if thresholds met and submitted upon request. Related-party disclosures required in tax returns (Form S2) and financial statements.",Within 9 months after the end of the Hong Kong entity’s accounting period (for MF/LF preparation),"Domestic related-party transactions may be exempt from FTPR under conditions. No safe harbor. Penalties for non-compliance (documentation, CbCR) up to HKD100,000, with potential imprisonment for willful intent. No thin capitalization rules or Public CbCR. APAs and MAP available."
Hungary,No,No later than 12 months after the last day of the tax year,No,"HUF100 million (approx. EUR250,000) based on volume of intercompany transactions with similar terms and conditions per financial year","31 May (for a Dec 31 year-end; generally, 5 months after the last day of the fiscal year)",No,"HUF100 million (approx. EUR250,000) based on volume of intercompany transactions with similar terms and conditions per financial year","Last day of the relevant reporting financial year (e.g., 31 December for a Dec 31 year-end)","Within 12 months of the last day of the reporting fiscal year (e.g., 31 December for a Dec 31 year-end)",EUR750 million annual global consolidated group revenue,Contemporaneous and annual preparation of Master File and Local File (OECD BEPS Action 13 compliant) for transactions > HUF100M. Stand-alone reports required. Mandatory interquartile range with median adjustment. Related-party disclosures and new TP data reporting in CIT return. Thin capitalization rules apply.,"31 May (for a Dec 31 year-end; generally, 5 months after the last day of the fiscal year)","Master File deadline can be 5 months after FYE if Hungarian UPE or no group MF. MF/LF have material differences from OECD templates. Related-party contracts reported to NTCA within 15 days. New TP data reporting in CIT return. Benchmarking: local comparables preferred, multi-year, search every 3 years (annual for financing). Penalties: up to HUF5M (HUF10M repeated) for documentation, HUF20M for CbCR. APAs and MAPs available. Public CbCR from FYs starting 22 June 2024."
India,Yes,30 November,Yes,Consolidated revenue > INR5 billion AND (International transactions > INR500 million OR IP transactions > INR100 million),31 October,Yes,International transactions > INR10 million OR SDTs > INR200 million,At least 2 months prior to CbCR filing deadline,12 months from end of reporting accounting year (or 6 months from systemic failure notification),Consolidated group revenues > INR64 billion,"Indian Income Tax Act 1961 and Income Tax Rules 1962 (Various Sections and Rules). Contemporaneous documentation (Rule 10D) required, largely aligned with OECD but with modifications. Applies to international and specified domestic transactions. Form 3CEB certification required.",31 October,"Safe harbor rules available (extended till FY 2025-26), covering various transactions and PE profit attribution. Form 3CEB certification required. No local language requirement (English accepted). No priority of TP methods- 'other method' also prescribed. Local comparables preferred- multi-year analysis (3 years) and fresh benchmarking required annually. Specific penalties for non-compliance with documentation, CbCR, and Master File. Penalty relief possible. Statute of limitations for TP assessment is 36 months from FY close. Common audit areas include royalties, management fees, marketing intangibles, and contract R&D. APAs (unilateral, bilateral, multilateral) available for up to 5 years with 4-year roll-back, including PE profit attribution. MAP available. Interest limitation rule (30% EBITDA) for interest to AE exceeding INR10 million, with 8-year carry forward. No Public CbCR."
Indonesia,Upon request,"4 months after fiscal year-end (e.g., 30 April for 31 Dec year-end)",Yes,"Gross revenues > IDR50 billion, OR specific transaction thresholds (IDR20bn tangible goods, IDR5bn services/interest/intangibles), OR transactions with low-tax jurisdictions","4 months after fiscal year-end (e.g., 30 April for 31 Dec year-end)",Yes,"Gross revenues > IDR50 billion, OR specific transaction thresholds (IDR20bn tangible goods, IDR5bn services/interest/intangibles), OR transactions with low-tax jurisdictions","12 months after year-end (e.g., 31 December for 31 Dec year-end)","12 months after year-end (e.g., 31 December for 31 Dec year-end)",EUR750 million (foreign-parented) or IDR11 trillion (Indonesian-parented),"Three-tiered documentation (MF, LF, CbCR); specific LF content changes (from TY2024); Preliminary Stages for certain RPTs (services, intangibles, funding, etc.); TP method hierarchy; individual testing preferred; Bahasa Indonesia required; annual preparation; stand-alone reports per entity; domestic transactions covered.","4 months after fiscal year-end (e.g., 30 April for 31 Dec year-end)","PMK 172 (eff. 29 Dec 2023) brought changes to TPD (TY2024) and ALP (TY2023), secondary/domestic corresponding adjustments. OECD Guidelines generally followed but DGT practice may differ. No BEPS Action 13 penalty protection. RPT disclosures with CITR. Penalties for non-compliance (interest, admin, secondary, VAT). Statute of limitations: 5 years (10 for fraud). TP audits common. APAs (5-year, roll-back) and MAP available. Thin cap rules (4:1 D-E ratio)."
Ireland,No,23rd day of the ninth month after year-end,Yes,EUR250 million annual consolidated group revenue,23rd day of the ninth month after year-end,Yes,EUR50 million annual consolidated group revenue,Last day of the financial year to which it pertains,12 months after the last day of the accounting period,EUR750 million annual consolidated revenue,"Irish TP rules (Taxes Consolidation Act 1997, Part 35A) follow 2022 OECD Guidelines, apply to domestic, non-trading, and capital transactions (over EUR25M). SME exemption. General TP documentation required. Single report for Irish entities allowed. Safe harbor for low-value-adding services. Thin capitalization rules.",23rd day of the ninth month after year-end,"Penalty protection available. Penalties for CbCR non-filing (EUR19,045 + EUR2,535/day) and MF/LF non-furnishing on request (EUR25,000 + EUR100/day). 4-year statute of limitations. APAs and MAPs available. Public CbCR applies from 22 June 2024 (EUR750M threshold), with fines/imprisonment for non-compliance."
Israel,"No, but must be prepared and submitted upon request",Within 30 days upon request,Yes,ILS150 million annual global income,Within 30 days upon request,Yes,No specific threshold,31 December (end of Fiscal Year),31 December (within one year from end of tax year),ILS3.4 billion annual global income,"Preparation of Master File, Local File, and CbCR (if thresholds met) in line with OECD BEPS Action 13. Annual TP documentation required, disclosed via Forms 1385, 1485, 1585. Documentation submitted upon request within 30 days. Safe harbors available for specific transactions.","Annually, by 31 May (corporate tax return lodgment date)","No specific TP penalties, but general tax penalties apply (e.g., 15% of deficit). Interest charged on penalties. No penalty relief. Statute of limitations is 3-4 years. TP methodologies are commonly scrutinized, adjustments to median. APAs and MAPs are available. No Public CbCR."
Italy,"No, filed upon request for penalty protection.",Prepared by tax return lodgment date; submitted within 20 days upon request.,Yes,,Prepared by tax return lodgment date; submitted within 20 days upon request.,Yes,,31 December,31 December,EUR750 million annual global income,"Master File and Local File required for penalty protection, largely consistent with OECD BEPS Action 13 but with specific format. Local File in local language, Master File can be in English. Annual preparation.",Prepared by tax return lodgment date; submitted within 20 days upon request.,"Penalty protection requires specific MF/LF format, prepared annually. CbCR penalties EUR10,000-EUR50,000. Statute of limitations 5 years (7 for non-filing). APAs (5-year tenure, roll-back) and MAP available. No specific thin cap rules. Public CbCR from FY2024 (EUR750M threshold), due 12 months after FYE, penalties EUR10,000-EUR50,000."
Japan,Yes,Within one year of ultimate parent's fiscal year-end,Yes,JPY100 billion annual global income,"45 or 60 days from tax authority request, depending on contemporaneous requirement",Yes,JPY5 billion total international related-party transactions or JPY300 million intangible transactions with a single overseas counterparty,End of ultimate parent's fiscal year-end,Within one year of ultimate parent's fiscal year-end,JPY100 billion annual global income,"Special Taxation Measures Law and related Orders, Ministerial Orders, Circulars, and Administrative Guidelines","By tax return lodgment date (within 3 months after year-end, including extension)","CbCR-Master File non-submission penalty: JPY300,000. No specific penalty for Local File. Statute of limitations: 7 years from tax return deadline. Thin capitalization and earnings stripping rules apply."
Jordan,Yes,12 months following the end of the tax reporting period,"Required for entities with related-party transactions exceeding JOD500,000 annually.","JOD500,000 (approximately USD705,000) in controlled transactions annually",12 months following the end of the tax reporting period/year,"Required for entities with related-party transactions exceeding JOD500,000 annually.","JOD500,000 (approximately USD705,000) in controlled transactions annually",Within four months after the end of the fiscal year of the taxpayer (along with corporate income tax return),12 months following the end of the MNE group’s tax/annual reporting period/year,JOD600 million (approximately USD846 million) in consolidated revenue in the immediately preceding year,"Adoption of arm's-length principle; three-tiered documentation (Master File, Local File, CbCR) for specific thresholds; TP disclosure form; chartered accountant disclosure; MF/LF require comprehensive industry analysis and prefer domestic comparables; IFRS related-party disclosures; thin capitalization rules (3-1 debt-to-equity ratio).",TP disclosure form: within 4 months after fiscal year-end; Chartered accountant disclosure: within 12 months following the tax period. Regulations apply to reporting periods ending after 7 July 2021.,"TP Regulations (No. 40 of 2021) and Executive Instructions (No. 3 of 2021) effective for reporting periods ending after 7 July 2021; based on OECD BEPS Action 13; MF/LF require comprehensive industry analysis and prefer domestic comparables; aggregation of transactions allowed for analysis; penalties for non-submission JOD300-JOD1,000; 4-year statute of limitations; APAs not available, MAP available; thin capitalization 3-1 debt-to-equity ratio; Public CbCR not applicable."
Kazakhstan,Yes,Within 12 months following the reporting year (or 30 days upon request),Yes,EUR750 million consolidated group revenue,31 December of the year following the reporting year,Yes,Company revenue > 5M monthly calculation index (approx. USD35M) AND total income/expenses/liabilities > 250K monthly calculation index (approx. USD1.8M). Subject to annual check due to index/exchange rate fluctuations.,1 September of the year following the reporting period,31 December (within 12 months following the reporting period),EUR750 million consolidated group revenue,"Annual preparation of TP documentation (Local File, Master File, CbCR, TP monitoring report, MNE group notification). Documentation in Kazakh or Russian. Individual testing of transactions. Specific TP methods (CUP, cost-plus, resale price, profit-split, TNMM) and benchmarking rules (multi-year analysis, interquartile range, 10% independence threshold). Safe harbors available for certain transactions.",TP monitoring report: 15 May annually. General TP documentation: 90 calendar days upon request (30 business days during audit).,"TP rules apply to domestic transactions. Limited reliance on OECD Guidelines; TP Law applies to all international transactions regardless of related parties. BEPS Action 13 reports do not protect from penalties. MCAA signatory for CbCR exchange. Related-party disclosures required in financial statements. Penalties for non-compliance (up to 500 monthly calculation index for incomplete/non-submission of MF/LF/CbCR; up to 80% of unpaid tax for TP adjustment, plus interest). Statute of limitations: 3 years (up to 7 for TP). APAs and MAP available. Thin capitalization rules apply."
Kenya,"Yes, for entities meeting CbCR thresholds.",Six months after the last day of the group’s fiscal year-end.,Yes,KES95 billion total consolidated group turnover,Six months after the last day of the group’s fiscal year-end.,Yes,KES95 billion total consolidated group turnover,On or before the last day of the group’s fiscal year-end.,Twelve months from the group’s fiscal year-end.,KES95 billion total consolidated group turnover,"Documentation required for related-party transactions (including specific domestic ones) under Various Income Tax Acts and rulings. Stand-alone reports for multiple entities. Contemporaneous preparation required, submission upon request, but annual submission for CbCR-applicable entities.",Six months after the last day of the group’s fiscal year-end.,"Documentation for specific domestic transactions. Penalties for non-compliance (KES100,000 minimum for documentation, KES1 million fine/3 years prison for CbCR). Statute of limitations is 5 years (no limit for fraud). Thin capitalization rule: interest capped at 30% of EBITDA. OECD Guidelines used as best practice. Documentation in English. Individual testing preferred. Multiyear benchmarking preferred, update every 3 years."
Kosovo,No,,No,,,31 March (recommended preparation); 30 days upon request,No,,,,,"Annual TP documentation required (prepared annually, stand-alone reports for each entity, local language required); Annual Controlled Transaction Notice required if aggregate controlled transactions exceed EUR300,000.","TP documentation preparation by 31 March (recommended); TP documentation submission within 30 days of request; Annual Controlled Transaction Notice by 31 March. / Largely relies on OECD TP Guidelines but not an OECD member. No BEPS Action 13 adoption. No documentation for domestic transactions. No thin capitalization rules. APAs not available. MAPs available. Penalties for non-compliance (EUR125-EUR2,500). Statute of limitations is 6 years."
Kuwait,No,,No,,,No,,,,,"Related-party disclosures required with annual tax return; no specific TP documentation rules but recommended. Governed by Kuwait Income Tax Decree No. 3 of 1955, as amended, and Executive Bylaws-Rules.",15th day of the fourth month from the end of the fiscal year,"Kuwait is not an OECD member and does not explicitly refer to OECD TP Guidelines. No BEPS Action 13 adoption, no MCAA signatory. Penalty interest (1% per month) on TP adjustments. 5-year statute of limitations. APAs not available, MAP available. No thin capitalization rules. No PCbCR."
Latvia,Yes,Within 12 months after year-end (or 30 days upon request),Yes,Annual controlled transactions > EUR5M. Proactive submission if > EUR15M OR (turnover > EUR50M AND > EUR5M); otherwise upon request.,Within 12 months after year-end (or 30 days upon request),Yes,"Annual controlled transactions > EUR250,000. Proactive submission if > EUR5M; otherwise upon request.",Last day of financial year,Within 12 months after year-end,EUR750 million annual global income,"Arm's-length principle in CIT law; annual TP documentation for cross-border (and linked domestic) transactions based on thresholds; Local File in Latvian, Master File English/Latvian (translation upon request); individual testing; safe harbor for low-value-adding services; related-party disclosures in CIT return; annual benchmarking study if transactions > EUR5M, otherwise roll-forward with updates (new study every 3 years).",Within 12 months after year-end (or 30 days upon request),"Penalties for non-compliance up to EUR100,000; 5-year statute of limitations; APAs available (unilateral/bilateral, up to 5 years with roll-back) for transactions > EUR1.43M; thin capitalization rules (4:1 debt-to-equity, 30% EBITDA interest cap); Public CbCR applies from 22 June 2024 (threshold EUR750M, deadline 12 months after year-end, max penalty EUR700)."
Lithuania,No (upon request),15 July,No (upon request),EUR15 million turnover,15 July,No (upon request),"EUR3 million turnover AND related party transactions exceed EUR90,000",31 December,31 December,EUR750 million annual global income,Law on Corporate Income Tax and related Orders of Minister of Finance and State Tax Inspectorate,15 July,"Domestic transactions exempt from documentation (justification upon request); Annual TP documentation update, benchmarking every 3 years; Form FR0528 (related-party transactions > EUR90k) filed with CIT return; Thin capitalization rules apply; Public CbCR from 22 June 2024"
Luxembourg,No,,No,,,No,,31 December (by end of reporting fiscal year),31 December (12 months after last day of reporting fiscal year),EUR750 million (consolidated annual group turnover),General documentation requirements under Section 171 of the General Tax Law,Contemporaneously with transactions,OECD Guidelines largely relied upon; General TP documentation required under Section 171 of the General Tax Law; Safe harbor for financing activities; Related-party disclosures required; APAs and MAP available; Public CbCR applies from FY2024 (EUR750m threshold)
Malaysia,Local File,Not applicable,No,Not applicable,By tax return lodgment date; 14 days upon request,Yes,Controlled transactions not exceeding RM1 million. Other exemptions apply for certain domestic transactions or individuals.,7 or 8 months after fiscal year-end (with Form C),12 months after the last day of the reporting fiscal year,MYR 3 billion annual global income,"Income Tax Act 1967, Labuan Business Activity Act 1990, Income Tax (Transfer Pricing) Rules 2023, Malaysia Transfer Pricing Guidelines 2024",By tax return lodgment date (7 or 8 months after fiscal year-end),"Domestic TP applies; Largely follows OECD Guidelines; BEPS Action 13 adopted; Penalties (fine RM20k-RM100k, imprisonment) and 5% surcharge on adjustments; 7-year statute of limitations; APAs and MAP available; Earning Stripping Rules (ESR) effective 2019."
Maldives,Upon request,30 days upon request,Yes,Not specified,30 days upon request,Yes,Not specified,31 December,31 December,EUR750 million consolidated group revenue,"TPD (Master File, Local File, CbCR) preparation and maintenance required per Income Tax Act and MIRA Regulations. TPD prepared by 30 June, submitted upon request within 30 days. CbCR filing and notification required. Schedule-04 for international transactions.",Preparation by 30 June; submission upon request within 30 days.,"Domestic transactions generally excluded from TPD (except loans). Largely follows OECD Guidelines. TPD in English or Dhivehi. No TP-specific penalties. Thin capitalization rules apply (30% EBITDA limit, with exemptions). No APAs or MAP. No Public CbCR."
Mexico,Yes (for certain taxpayers),31 December of the following fiscal year,Yes,"MXN1,016,759,000 (accruable income in previous FY) or public company",15 May of the following fiscal year,Yes,"MXN1,016,759,000 (accruable income in previous FY) or public company",31 December of the following fiscal year (for surrogate Mexican parent entities); disclosure in Tax Report/ISSIF (31 March/15 May),31 December of the following fiscal year,"MXN12,000 million (consolidated income)","Annual contemporaneous documentation for cross-border and local transactions, including Master File, Local File, and CbCR for certain taxpayers. Specific thresholds apply.",31 March of the following fiscal year (general); 15 May of the following fiscal year (if Tax Report filed/opted),"Penalties for non-compliance (up to MXN284,220, disqualification, registry cancellation). Statute of limitations is 5 years. APAs available (unilateral-bilateral, 1-year roll-back). Thin capitalization rules (3x equity for foreign related party debt; 30% net interest expense deduction limit over MXN20M). Reportable transactions regime for tax advisors-taxpayers from 2021."
